society_id,society_name,region,lat,lon,focal_year,EA031_code,EA031_label,comment,references
Eh10,Betsileo,,-22,47,NA,NA,Missing data,,
Eh2,Merina,,-19,46,1900,7,5000-50000,,grandidierandgrandidier190828; sibree1880
Eh3,Tanala,,-22,47,1930,3,100-199,,kardiner1939; linton1933; linton1939b; murdock1959
Eh4,Vedda,,8,81,1900,1,<50,,bailey1863; ryanetal194950; seligmannandseligmann1911; spittel1945
Eh5,Nicobarese,,9.17,92.77,1890,1,<50,,man1888; man1932; svoboda189293; whitehead1924
Eh6,Sinhalese,,7,80,1950,8,50000+,,ariyapala1956; codrington1926; doyly1929; hayley1923; leach1959; leach1960; leach1963; murphey1957; pieris1956; ryan1953a; ryan1953b; ryan1958; singer1964; tambiah1958; yalman1960; yalman1962
Eh7,Antandroy,,-25,46,1900,NA,Missing data,,
Eh8,Sakalava,,-21,43.93,1900,4,200-399,,faublee1946; kurze188689; mcleod1964
Eh9,Antaisaka,,-22.9,47.75,1930,NA,Missing data,,
Ei1,Garo,,26,91,1900,3,100-199,,burling1963; playfair1909
Ei10,Chakma,,23,92,1870,NA,Missing data,,
Ei11,Aimol,,25,94,1910,2,50-99,,bose1936; needham1960; shakespear1912
Ei12,Thado,,25,94,1910,NA,Missing data,,
Ei13,Angami,,26,94,1910,6,1000-5000,,hutton1921a
Ei14,Ao,,27,94,1920,5,400-1000,,mills1926; smith1925b
Ei15,Rengma,,26,94,1930,NA,Missing data,,
Ei16,Sema,,26,95,1910,4,200-399,,hutton1921b
Ei17,Karbi,,26,94,1900,NA,Missing data,,
Ei18,Palaung,,23,97,1920,2,50-99,,lowis1906; milne1924
Ei19,Chin,,22,94,1940,NA,Missing data,,
Ei2,Lhota,,27,94,1920,NA,Missing data,,
Ei20,Kuki,,23,92,1940,NA,Missing data,,
Ei3,Burmese,,20,95,1950,8,50000+,,brohm1963; lebaretal1964:38-44; nash1963; nash1965; scott1882; somitandwelsh1956; trager1956
Ei4,Maras,,22,93,1930,NA,Missing data,,
Ei5,Kachin,,26,97,1940,3,100-199,,leach1945; leach1954; leach1967
Ei6,Purum,,25,94,1930,2,50-99,,das1945; needham1958
Ei7,Karen,,17.12,97.19,1910,NA,Missing data,,
Ei8,Khasi,,26,92,1900,2,50-99,,becker1909; chattopadhyay1941; guha1931; gurden1904; gurdon1907; mccormack1964; mccormack1967
Ei9,Mogh,,20.49,92.64,1880,NA,Missing data,,
Ej1,Lamet,,20,101,1940,2,50-99,,izikowitz1951
Ej10,Rade,,13,108,1950,NA,Missing data,,
Ej11,Cham,,11,108,1950,5,400-1000,,lafont1964
Ej12,Lawa,,18,98,1960,4,200-399,,kunstadter1965; kunstadter1966; lebaretal1964
Ej13,Muong,,21,105,1940,NA,Missing data,,
Ej14,Senoi,,4,102,1960,2,50-99,,dentan1967
Ej15,Ancient Khmer,,13,104,1292,8,50000+,,briggs1951; groslier1956; pelliot1951
Ej16,Negri Sembilan,,2.58,102.25,1958,7,5000-50000,,gulick1958; lewis1962a; parmer1959; swift1965; wilkinson1911
Ej2,Mnong Gar,,12,107,1940,3,100-199,,condominas1957; condominas1960
Ej3,Semang,,5,101,1920,1,<50,,evans1937; lebaretal1964:181-186; murdock1934b:85-106; schebesta1927; schebesta1954
Ej4,Annamese,,17,107,1950,8,50000+,,cadire1953; coughlin1950; coughlin1965; donoghue1964; gourou1936; gourou1954; gourou1955; hickey1964; langrand1945; lintonnd; vankhoan1930
Ej5,Khmer,,12,105,1950,8,50000+,,aymonier190004; briggs1951; chou1902; coedes1968; delbert1961; ebihara1964; groslier1956; poreandmaspero1938; poreemaspero1958; steinberg1957
Ej6,Moken,,11.78,98.28,1920,NA,Missing data,,
Ej7,Akha,,21,100,1950,4,200-399,,bernatzik1947
Ej8,Malays,,5,103,1940,NA,Missing data,,
Ej9,Thai,,15,100,1940,6,1000-5000,,anumanrajadhon1961; benedict1943; bush1964; hanks1963; hanksandhanks1961; hauck1958; insor1963; janlekha1955; phillips1965; sharpandhanks1978; sharpetal1954
Ia1,Atayal,,24,121,1930,3,100-199,,ferrell1969; mabuchi1960; okada1949; ruey1955; rueynd
Ia10,Bunun,,24,121,1930,NA,Missing data,,
Ia11,Puyuma,,23,121,1930,5,400-1000,,mabuchi1960
Ia12,Sugbuanon,,10.2,123.65,1950,8,50000+,,hart1965; hartnd; quijano1937; svelmoe1954
Ia13,Badjau Tawi-Tawi,,5.09,119.97,1960,4,200-399,,nimmo1964; nimmo1965; nimmo1968; nimmo1969; nimmo1970
Ia14,Tao,,22.05,121.55,1930,4,200-399,,kaneandsegawa1956; mabuchi1960; weiandliu1962
Ia15,Manobo,,8,126,1920,NA,Missing data,,
Ia16,Kalinga,,18,121,1910,5,400-1000,,barton1949; dozier1966a; dozier1967
Ia17,Bilaan,,6,125,1910,NA,Missing data,,
Ia18,Bisayan,,10,123,1950,NA,Missing data,,
Ia2,Sagada,,17,121,1950,6,1000-5000,,bacdayan1962; eggan1960
Ia3,Ifugao,,17,121,1920,3,100-199,,barton1919; barton1922; barton1930; barton1938; barton1946
Ia4,Subanun,,8,123,1950,1,<50,,christie1909; frake1955; frake1960
Ia5,Hanunoo,,13,121,1950,3,100-199,,conklin1954; conklin1955; conklin1957
Ia6,Paiwan,,22.44,120.77,1930,4,200-399,,mabuchi1960; okada1960; shih1964
Ia7,Tagbanua,,10,119,1950,NA,Missing data,,
Ia8,Bontok,,17,121,1900,5,400-1000,,jenks1905; keesing1949
Ia9,Ami,,22.7,121.05,1930,5,400-1000,,mabuchi1960; wei1961
Ib1,Iban,,2,112,1950,NA,Missing data,,
